% 1. Title: Trajetórias Manipuladas - As Originais
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0003,-054.7239749999999999,-20.44354,18/03/09,12:46:13
0003,-054.7232833333333333,-20.44332666666666665,18/03/09,12:51:10
0003,-054.7233566666666668,-20.44341,18/03/09,12:56:15
0003,-054.7228766666666666,-20.4437966666666667,18/03/09,13:01:09
0003,-054.7229083333333333,-20.44370333333333334,18/03/09,13:06:15
0003,-054.7227216666666667,-20.4438416666666667,18/03/09,13:13:23
0003,-054.7225916666666666,-20.44396166666666664,18/03/09,13:16:21
0003,-054.7225833333333332,-20.44393333333333335,18/03/09,13:21:07
0003,-054.7228033333333334,-20.44398333333333334,18/03/09,13:26:13
0003,-054.7226966666666667,-20.443955,18/03/09,13:31:10
0003,-054.7229083333333333,-20.44294,18/03/09,13:36:11
0003,-054.7229333333333333,-20.44313833333333336,18/03/09,13:41:11
0003,-054.72373,-20.44375166666666666,18/03/09,13:46:12
0003,-054.7228433333333334,-20.44278833333333334,18/03/09,13:51:10
0003,-054.7233233333333333,-20.4432733333333333,18/03/09,13:56:11
0003,-054.7231116666666666,-20.4432733333333333,18/03/09,14:01:12
0003,-054.7231366666666666,-20.44333333333333336,18/03/09,14:06:15
0003,-054.7234783333333333,-20.44373166666666664,18/03/09,14:11:14
0003,-054.7229333333333333,-20.44304166666666667,18/03/09,14:16:07
0003,-054.7227049999999999,-20.44397000000000003,19/03/09,12:41:29
0003,-054.7229083333333333,-20.4440483333333333,19/03/09,12:46:05
0003,-054.7227783333333334,-20.4437166666666667,19/03/09,12:51:06
0003,-054.7228116666666666,-20.4438666666666667,19/03/09,12:56:10
0003,-054.72277,-20.4438666666666667,19/03/09,13:01:13
0003,-054.7226883333333334,-20.4428283333333333,29/04/09,13:18:43
0003,-054.7225666666666667,-20.4429933333333333,29/04/09,13:21:13
0003,-054.7226733333333333,-20.44292,29/04/09,13:26:02
0003,-054.7226883333333334,-20.44313,29/04/09,13:30:55
0003,-054.7226316666666667,-20.44316,29/04/09,13:36:06
0003,-054.71184,-20.44985166666666665,13/05/09,18:27:39
0003,-054.71184,-20.44987666666666665,13/05/09,18:42:30
0003,-054.7118249999999999,-20.44986,13/05/09,18:57:36
0004,-054.72273,-20.44298166666666666,16/03/09,18:48:51
0004,-054.72273,-20.4429766666666667,16/03/09,18:53:40
0004,-054.722665,-20.44297499999999995,16/03/09,18:58:39
0004,-054.7227216666666667,-20.4429916666666667,16/03/09,19:03:39
0004,-054.7227216666666667,-20.4429916666666667,16/03/09,19:08:40
0004,-054.72255,-20.442965,16/03/09,19:13:39
0004,-054.7226966666666667,-20.44297499999999995,16/03/09,19:18:39
0004,-054.7226566666666667,-20.44294833333333333,16/03/09,19:23:40
0004,-054.7227049999999999,-20.44298333333333334,16/03/09,19:28:40
0004,-054.7227383333333334,-20.44302499999999995,16/03/09,19:33:40
0004,-054.7226233333333333,-20.4429933333333333,16/03/09,19:38:43
0004,-054.72277,-20.443015,16/03/09,19:43:40
0004,-054.7227616666666666,-20.44302499999999995,16/03/09,19:48:39
0004,-054.7226966666666667,-20.44298166666666666,16/03/09,19:53:40
0004,-054.7227783333333334,-20.44306999999999996,16/03/09,19:58:40
0004,-054.7228266666666666,-20.44318,16/03/09,20:03:40
0004,-054.72273,-20.4430116666666667,16/03/09,20:08:40
0004,-054.7227216666666667,-20.4429166666666667,16/03/09,20:13:56
0004,-054.7227383333333334,-20.4429883333333333,16/03/09,20:18:21
0004,-054.7226400000000001,-20.442855,16/03/09,20:23:17
0004,-054.72273,-20.4429666666666667,16/03/09,20:28:20
0004,-054.72273,-20.44290333333333337,16/03/09,20:33:19
0004,-054.7227783333333334,-20.44384833333333334,17/03/09,13:42:51
0004,-054.7228766666666666,-20.44389500000000004,17/03/09,14:11:22
0004,-054.72303,-20.4438783333333333,17/03/09,14:16:19
0004,-054.7228116666666666,-20.44383,17/03/09,14:21:25
0004,-054.72273,-20.44382166666666667,17/03/09,14:25:43
0004,-054.7233883333333334,-20.443805,17/03/09,14:32:37
0004,-054.7225666666666667,-20.4439,17/03/09,14:36:50
0004,-054.7226,-20.4439,17/03/09,14:40:42
0004,-054.72277,-20.44386333333333333,17/03/09,14:47:56
0004,-054.72242,-20.44403,17/03/09,14:51:42
0004,-054.7219,-20.44301,17/03/09,14:56:14
0004,-054.72334,-20.4426716666666667,17/03/09,15:01:15
0004,-054.7228116666666666,-20.4429933333333333,17/03/09,15:06:24
0004,-054.7226966666666667,-20.44308333333333333,17/03/09,15:10:44
0004,-054.7227216666666667,-20.4430233333333333,17/03/09,15:15:49
0004,-054.7226733333333333,-20.4429383333333333,17/03/09,15:21:51
0004,-054.7227216666666667,-20.44282,17/03/09,15:26:05
0004,-054.72273,-20.44298166666666666,17/03/09,15:32:06
0004,-054.7226400000000001,-20.4429416666666667,17/03/09,15:36:20
0004,-054.7226233333333333,-20.442735,17/03/09,15:40:41
0004,-054.7229416666666667,-20.44313,18/03/09,12:20:43
0004,-054.722795,-20.4431616666666667,18/03/09,12:25:32
0004,-054.72273,-20.442965,18/03/09,12:30:28
0004,-054.7227616666666666,-20.44284666666666667,18/03/09,12:35:34
0004,-054.7227783333333334,-20.44283666666666666,18/03/09,12:40:32
0004,-054.7228683333333333,-20.44273666666666667,18/03/09,12:45:32
0004,-054.72338,-20.443175,18/03/09,12:50:34
0004,-054.7233883333333334,-20.44333500000000003,18/03/09,12:55:35
